subject_external_id	subject_name	object	pub	comment	subject_external_db	relation
329919036	aSP-g3A	adult fruitless aSP-g3 (female) neuron			neuprint_JRC_Hemibrain_1point1	is_a
421650982	aSP-g3B	adult fruitless aSP-g3 (female) neuron			neuprint_JRC_Hemibrain_1point1	is_a
485430336	aSP-g3B	adult fruitless aSP-g3 (female) neuron			neuprint_JRC_Hemibrain_1point1	is_a
578189223	mAL3B	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
610571450	mAL3B	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
5812980330	mAL3B	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
668876945	mAL3B	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
703351975	mAL3B	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
953004705	mAL3A	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
671604934	mAL3A	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
735073668	mAL3A	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
734724111	mAL3A	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
735415046	mAL3A	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
921969761	mAL3A	adult mediodorsal antennal lobe neuron 3			neuprint_JRC_Hemibrain_1point1	is_a
981000564	DNp42	descending neuron of the posterior brain DNp42			neuprint_JRC_Hemibrain_1point1	is_a
